id,name,latitude,longitude,zip_code,puma_name,rating_adj,American (New),American (Traditional),Asian Fusion,Bagels,Bakeries,Bars,Breakfast & Brunch,Burgers,Cafes,Caribbean,Chicken Wings,Chinese,Cocktail Bars,Coffee & Tea,Delis,Desserts,Diners,Dominican,Fast Food,Food Stands,Food Trucks,Greek,Grocery,Halal,Indian,Italian,Japanese,Juice Bars & Smoothies,Kosher,Latin American,Lounges,Mediterranean,Mexican,Pizza,Restaurants,Salad,Sandwiches,Seafood,Soul Food,Spanish,Sports Bars,Steakhouses,Sushi Bars,Thai,Wine Bars,number_of_cats,low,medium,expensive,very expensive,hh_alone_pct,hh_u18_pct,income_diversity_ratio,m_crime_all_rt,m_crime_prop_rt,m_crime_viol_rt,m_prox_subway_pct,pop_65p_pct,pop_bornstate_pct,pop_commute_carfree_pct,pop_commute_time_avg,pop_discon_youth_pct,pop_edu_collp_pct,pop_edu_nohs_pct,pop_foreign_pct,pop_laborforce_pct,pop_num,pop_pov_65p_pct,pop_pov_pct,pop_pov_u18_pct,pop_race_asian_pct,pop_race_black_pct,pop_race_div_idx,pop_race_hisp_pct,pop_race_white_pct,pop_unemp_pct,rent_burden_med
R2Tmd1sKuvoyNC6CPw2u6g,El Valle Restaurant,40.8374329,-73.9206161,10452,Highbridge/South Concourse,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
hALJmeLcWiG8qxd6rDhkiQ,Domino's Pizza,40.835829,-73.920871,10452,Highbridge/South Concourse,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
sbR7YePMb_PJ59bjxktGZA,Subway,40.83573,-73.9208,10452,Highbridge/South Concourse,3.096153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
wdLvwNIbafdY9gswF9-j2w,Lillys Cafe,40.8356628,-73.920578,10452,Highbridge/South Concourse,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
1vunbCxqhhbfnZy5wc_DCA,Justine Restaurant,40.8357772827148,-73.9213333129883,10452,Highbridge/South Concourse,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
zSeISbNAkJwTEqvUGNT-OA,La Nueva Win Hing Restaurant,40.83543,-73.92115,10452,Highbridge/South Concourse,3.3359375000000004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
uaDvTXlF5GkLNZIv493vRQ,Little Caesars,40.8357620393808,-73.9218950271606,10452,Highbridge/South Concourse,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
_uW27eEtontulc7MNPr74Q,Giovanni's 4,40.83522,-73.92016,10452,Highbridge/South Concourse,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
qyYcmUA4kAa6oeUK4PEshg,Giovanni's Pizza,40.83522,-73.92016,10452,Highbridge/South Concourse,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
JEnpvrAPGJEAAeETO4AJvQ,Dragon Concourse,40.83524,-73.92022,10452,Highbridge/South Concourse,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.283949633407714,0.41845313994262,5.45833333333333,14.490477393626099,7.45009935742039,7.04037803620571,0.962980191495135,0.096249217901011,0.43127078736786606,0.7948911132637321,43.667168944856996,0.0761650823092975,0.13961406256798498,0.351847017360658,0.45168768729212605,0.605421499355641,151835.0,0.33691654879773697,0.348673394372786,0.457126896936971,0.0182566601903382,0.26003227187407396,0.457262356250948,0.6887081371225339,0.0216485000164652,0.116032237701669,0.0035700000000000003
